"","V1","V2"
"1",225,0
"2",146,0
"3",78,0
"4",327,0
"5",198,0
"6",71,0
"7",321,0
"8",168,0
"9",240,0
"10",113,0
"11",205,0
"12",252,0
"13",14,0
"14",280,0
"15",267,0
"16",85,0
"17",195,0
"18",56,0
"19",227,0
"20",232,0
"21",155,0
"22",47,0
"23",308,0
"24",179,0
"25",97,0
"26",229,0
"27",216,0
"28",304,0
"29",191,0
"30",253,0
"31",38,0
"32",127,0
"33",45,0
"34",196,0
"35",335,0
"36",298,0
"37",26,0
"38",329,0
"39",110,0
"40",76,0
"41",106,0
"42",294,0
"43",3,0
"44",175,0
"45",301,0
"46",18,0
"47",135,0
"48",61,0
"49",314,0
"50",283,0
"51",151,0
"52",331,0
"53",172,0
"54",84,0
"55",180,0
"56",343,0
"57",178,0
"58",208,0
"59",164,0
"60",211,0
"61",285,0
"62",269,0
"63",219,0
"64",218,0
"65",264,0
"66",48,0
"67",204,0
"68",345,0
"69",251,0
"70",305,0
"71",101,0
"72",53,0
"73",239,0
"74",105,0
"75",27,0
"76",319,0
"77",256,0
"78",132,0
"79",90,0
"80",21,0
"81",67,0
"82",157,0
"83",16,0
"84",212,0
"85",315,0
"86",126,0
"87",323,0
"88",80,0
"89",348,0
"90",182,0
"91",107,0
"92",93,0
"93",259,0
"94",235,0
"95",5,0
"96",121,0
"97",117,0
"98",91,0
"99",231,0
"100",307,0
"101",96,0
"102",116,0
"103",161,0
"104",58,0
"105",213,0
"106",203,0
"107",35,0
"108",66,0
"109",274,0
"110",4,0
"111",190,0
"112",42,0
"113",185,0
"114",177,0
"115",52,0
"116",142,0
"117",131,0
"118",238,0
"119",261,0
"120",159,0
"121",49,0
"122",17,0
"123",278,0
"124",270,0
"125",347,0
"126",40,0
"127",137,0
"128",342,0
"129",248,0
"130",221,0
"131",141,0
"132",50,0
"133",296,0
"134",290,0
"135",228,0
"136",24,0
"137",201,0
"138",340,0
"139",115,0
"140",286,0
"141",199,0
"142",69,0
"143",64,0
"144",169,0
"145",254,0
"146",138,0
"147",34,0
"148",324,0
"149",144,0
"150",13,0
"151",43,0
"152",245,0
"153",120,0
"154",339,0
"155",31,0
"156",332,0
"157",255,0
"158",330,0
"159",275,0
"160",41,0
"161",9,0
"162",86,0
"163",326,0
"164",220,0
"165",75,0
"166",12,0
"167",279,0
"168",147,0
"169",88,0
"170",72,0
"171",313,0
"172",82,0
"173",139,0
"174",284,0
"175",33,0
"176",124,0
"177",167,0
"178",295,0
"179",166,0
"180",74,0
"181",299,0
"182",136,0
"183",244,0
"184",322,0
"185",271,0
"186",292,0
"187",184,0
"188",11,0
"189",59,0
"190",192,0
"191",344,0
"192",94,0
"193",241,0
"194",243,0
"195",149,0
"196",287,0
"197",336,0
"198",15,0
"199",128,0
"200",312,0
"201",118,0
"202",145,0
"203",183,0
"204",302,0
"205",63,0
"206",171,0
"207",170,0
"208",333,0
"209",6,0
"210",260,0
"211",44,0
"212",320,0
"213",250,0
"214",150,0
"215",152,0
"216",276,0
"217",158,0
"218",98,0
"219",100,0
"220",310,0
"221",268,0
"222",57,0
"223",272,0
"224",297,0
"225",247,0
"226",215,0
"227",22,0
"228",277,0
"229",28,0
"230",258,0
"231",112,0
"232",163,0
"233",19,0
"234",249,0
"235",65,0
"236",226,0
"237",291,0
"238",289,0
"239",318,0
"240",176,0
"241",77,0
"242",25,0
"243",39,0
"244",186,0
"245",125,0
"246",51,0
"247",89,0
"248",95,0
"249",246,0
"250",103,0
"251",187,0
"252",55,0
"253",282,0
"254",30,0
"255",197,0
"256",87,0
"257",130,0
"258",209,0
"259",237,0
"260",70,0
"261",156,0
"262",262,0
"263",32,0
"264",202,0
"265",233,0
"266",2,0
"267",337,0
"268",293,0
"269",133,0
"270",160,0
"271",300,0
"272",108,0
"273",206,0
"274",165,0
"275",54,0
"276",210,0
"277",174,0
"278",162,0
"279",325,0
"280",222,0
"281",46,0
"282",119,0
"283",311,0
"284",306,0
"285",37,0
"286",36,0
"287",134,0
"288",7,0
"289",62,0
"290",79,0
"291",273,0
"292",114,0
"293",303,0
"294",341,0
"295",173,0
"296",104,0
"297",328,0
"298",154,0
"299",73,0
"300",181,0
"301",111,0
"302",236,0
"303",60,0
"304",123,0
"305",122,0
"306",346,0
"307",224,0
"308",92,0
"309",317,0
"310",223,0
"311",99,0
"312",10,0
"313",194,0
"314",288,0
"315",207,0
"316",8,0
"317",153,0
"318",309,0
"319",68,0
"320",23,0
"321",266,0
"322",265,0
"323",129,0
"324",338,0
"325",242,0
"326",109,0
"327",29,0
"328",20,0
"329",257,0
"330",81,0
"331",316,0
"332",281,0
"333",143,0
"334",263,0
"335",234,0
"336",189,0
"337",349,0
"338",188,0
"339",217,0
"340",214,0
"341",140,0
"342",193,0
"343",83,0
"344",334,0
"345",230,0
"346",148,0
"347",102,0
"348",1,0.771682211061779
"349",200,1
