"","","","vMean.val","vVar.val"
"1",123,0,7.01473794900878,28.0182527985811
"2",325,0,0.833199486649254,0.822983205935892
"3",72,0,0.53696960311114,0.290696411698163
"4",335,0,0.240398927575068,0.0259083643793607
"5",386,0,0.180066447675948,0.0142105219634122
"6",319,0,0.161661650784147,0.00212353904106415
"7",120,0,0.157917708289096,0.0139863237970328
"8",74,0,0.110294534700824,0.00495761964154266
"9",276,0,0.103622131082734,0.00621625820771209
"10",395,0,0.0992111657311802,0.0124394689148429
"11",85,0,0.0957479886963913,0.00207351092705202
"12",114,0,0.0919643811188425,0.0007302584987177
"13",194,0,0.0908229072098517,0.00176339148814628
"14",267,0,0.0804930783912602,0.008217899048033
"15",285,0,0.079991508181817,0.00520875575170642
"16",345,0,0.0748029663559363,0.00567795011817572
"17",28,0,0.069871336441384,0.000342825552431501
"18",279,0,0.0634958951074274,0.00079694734774617
"19",354,0,0.0629055842764058,0.0013589043379868
"20",40,0,0.0496681202931443,0.00194812974016781
"21",68,0,0.0487062606442122,0.000486228471780811
"22",290,0,0.0430491841052704,0.000466201554667498
"23",324,0,0.0424533068492109,0.000619875152769332
"24",371,0,0.0413494106184976,0.000179430793436727
"25",329,0,0.0412061111256322,0.000348478880283441
"26",158,0,0.0393839345380332,0.000252668099857637
"27",221,0,0.0355478825689025,0.000590639410886419
"28",212,0,0.0345077842662123,0.000862362286189604
"29",131,0,0.0343641033582608,0.000381523001523081
"30",57,0,0.0343360546011911,8.18234460735795e-05
"31",270,0,0.0329548088659911,0.000128071047009236
"32",283,0,0.0326834453570587,0.000154325633720188
"33",125,0,0.0325995838560597,0.000154677985663367
"34",176,0,0.0318449530987847,0.00118064834550372
"35",242,0,0.0308151972934416,0.00038653145543219
"36",218,0,0.0302171061309571,5.77678577976435e-05
"37",130,0,0.0291700719750838,0.000125228552755939
"38",79,0,0.0289495100216123,7.58880755983542e-05
"39",226,0,0.0276209303559668,4.30666725382159e-05
"40",266,0,0.0270920012582705,4.25230869201088e-05
"41",105,0,0.0270899747986326,0.00061683765136259
"42",63,0,0.0270573780173688,0.000218851560160748
"43",315,0,0.0269945946660041,9.85061704539349e-05
"44",152,0,0.0269538891454867,0.000181439111911458
"45",254,0,0.0260677587828889,0.000105431607024709
"46",174,0,0.0254156218989746,3.75599733731257e-05
"47",3,0,0.0248031407112869,9.75755428019634e-05
"48",233,0,0.024740771906417,4.04506244405181e-05
"49",109,0,0.024607630205533,1.35334281513967e-05
"50",384,0,0.0245423682891495,2.86034454325949e-05
"51",56,0,0.0243805957925651,4.41068238846334e-05
"52",224,0,0.0240727255429553,1.79867157980583e-05
"53",8,0,0.0235410104167193,0.000186001289937637
"54",291,0,0.02342992211141,4.43122143028817e-05
"55",171,0,0.0233166848715514,2.80548570043638e-05
"56",342,0,0.0229955806120604,2.32924653166308e-05
"57",314,0,0.0227171643436631,8.1909103190535e-06
"58",113,0,0.0226004305259063,4.49227975705761e-05
"59",58,0,0.0225002892337665,0.000192458793080085
"60",153,0,0.0217256425201477,9.76618892696933e-05
"61",353,0,0.0216333304257726,2.72351295443146e-06
"62",14,0,0.0214069111025018,9.06717306736671e-06
"63",41,0,0.0212577077423647,1.30950673523324e-06
"64",139,0,0.0210541505337388,9.17205949839066e-06
"65",197,0,0.0209797822456501,3.59421293595921e-07
"66",179,0,0.0208728026956563,1.95959763233361e-05
"67",166,0,0.0208677654421794,1.16668683198538e-05
"68",361,0,0.0208507022039521,3.70590642191668e-05
"69",142,0,0.0206307872233222,5.35100921176253e-05
"70",296,0,0.0206260849063999,1.81747242851477e-06
"71",204,0,0.0206047725621509,3.0089003101214e-07
"72",255,0,0.0205708938209364,1.97581428768759e-06
"73",48,0,0.0205173411840666,2.13539674648499e-07
"74",370,0,0.020496159264748,1.74239628247363e-06
"75",282,0,0.0204113881579355,2.00654866930445e-07
"76",301,0,0.0204072827889872,3.92019211304992e-07
"77",350,0,0.02038046255098,2.60850411135717e-07
"78",280,0,0.0203479762052272,5.49941225928333e-07
"79",252,0,0.020333101221963,4.11733185884752e-07
"80",243,0,0.0203078305993972,3.15364748719343e-07
"81",262,0,0.020299071936512,1.70418936533576e-07
"82",82,0,0.0202699734283683,3.87746702516186e-07
"83",246,0,0.0202273045098908,2.11575924557756e-07
"84",10,0,0.020225792382144,4.02751348082292e-07
"85",394,0,0.0202140558107681,2.14974515649125e-07
"86",186,0,0.0201870094382987,9.00121085461321e-06
"87",363,0,0.0201859169441665,1.99914065464759e-07
"88",376,0,0.0201796999523974,8.95769573280025e-06
"89",137,0,0.020176605523888,2.54185046800292e-07
"90",181,0,0.0201543512570359,2.88397121800716e-06
"91",333,0,0.0201538409416203,4.12438675274503e-07
"92",69,0,0.0201360366739905,4.7518656310887e-07
"93",17,0,0.0201293018001178,1.7920491305714e-07
"94",60,0,0.0201286771153959,2.00199859836531e-07
"95",260,0,0.0201213190344464,5.86371804350566e-07
"96",214,0,0.0201073715699409,1.88036036660952e-07
"97",27,0,0.0201037781990512,2.1664809108536e-07
"98",173,0,0.0200930186393686,2.34192191599327e-07
"99",26,0,0.0200889078033995,6.05542556310879e-07
"100",347,0,0.0200802926867426,3.95484231806369e-07
"101",188,0,0.0200714669685846,4.41792732035753e-07
"102",278,0,0.0200687982595839,1.66664624337696e-07
"103",268,0,0.0200401973429834,4.29012349457607e-07
"104",355,0,0.0200399385936392,1.7505441195553e-07
"105",303,0,0.0200380724995107,3.49400404126923e-07
"106",207,0,0.0200318838322276,1.82483009325331e-07
"107",357,0,0.020026971198021,2.61424940299845e-07
"108",326,0,0.0200223233265143,4.30173924093661e-07
"109",62,0,0.0200039058347155,3.90306900593386e-07
"110",277,0,0.0199967905312697,5.02721308818789e-07
"111",4,0,0.0199956466879762,4.21618628129329e-07
"112",372,0,0.0199927546593434,4.08046393071411e-07
"113",104,0,0.0199877046557721,2.98958271549751e-07
"114",81,0,0.0199829183416553,2.00716588140814e-07
"115",134,0,0.0199805324735979,2.62559897830828e-07
"116",151,0,0.0199802496773207,2.07713568263449e-07
"117",180,0,0.0199795024186371,6.65375344013339e-07
"118",217,0,0.0199719755592269,2.11714336611903e-07
"119",392,0,0.0199597304112229,2.46415325946542e-07
"120",154,0,0.0199486180496885,4.41295984822297e-07
"121",112,0,0.0199296861291656,2.52263997904541e-07
"122",44,0,0.0199239697891486,2.33148716703828e-07
"123",157,0,0.0199207592829795,4.94289589076423e-07
"124",84,0,0.019918793934119,1.77505924176981e-07
"125",257,0,0.01991697205919,2.08443046127738e-07
"126",66,0,0.0199131080275104,2.54654977284271e-07
"127",116,0,0.0199100432670134,2.619732399045e-07
"128",86,0,0.0199067608772946,1.94590064414756e-07
"129",127,0,0.0199004514435835,4.53988748493707e-07
"130",55,0,0.0198972812503491,1.84682099094539e-07
"131",164,0,0.0198859717637868,4.04623155641256e-07
"132",19,0,0.0198835673356668,4.53717977763778e-07
"133",234,0,0.019866482186172,5.64602619854887e-07
"134",87,0,0.0198664341959856,6.72950115969e-07
"135",148,0,0.0198637496125181,3.80738190221761e-07
"136",334,0,0.0198627632769406,2.96535459786264e-07
"137",286,0,0.0198568861881141,3.95090764024833e-07
"138",51,0,0.0198530144990548,2.31120721211788e-07
"139",275,0,0.0198503536998414,2.23518339323427e-07
"140",309,0,0.0198442139062715,2.80745249392039e-07
"141",239,0,0.0198377724622911,2.05679628847969e-07
"142",52,0,0.0198361339516801,5.54945699270445e-07
"143",102,0,0.0198104687667114,5.92734399422349e-07
"144",287,0,0.0198097538115579,5.15561641886615e-07
"145",322,0,0.0198037743557261,4.69358851295459e-07
"146",241,0,0.0198024354275817,2.02289512455017e-07
"147",209,0,0.0197831585872102,3.86857739429172e-07
"148",328,0,0.0197798366592588,2.50017430774881e-07
"149",311,0,0.0197602711917572,2.13097577206856e-07
"150",129,0,0.0197585740917752,1.91170068788635e-07
"151",198,0,0.019757234443279,2.65105897535921e-07
"152",5,0,0.0197476544778709,2.15211194451423e-07
"153",111,0,0.0197459877202621,6.33680999283691e-07
"154",175,0,0.0197433346310428,4.61239231769579e-07
"155",149,0,0.0197421180227461,2.82116565466497e-07
"156",165,0,0.0197383846963054,2.40796894739443e-07
"157",80,0,0.0197325197164329,5.09769096971938e-07
"158",37,0,0.0197232629909585,4.63020335571723e-07
"159",352,0,0.0197215353066375,2.82785704120426e-07
"160",196,0,0.0197175558407032,2.02264116463386e-07
"161",383,0,0.0197168066553262,7.81806412706185e-07
"162",7,0,0.019713800978429,4.72769675386833e-07
"163",24,0,0.0197106490302023,3.05094061280614e-07
"164",305,0,0.0197106079709818,2.88505392465793e-07
"165",248,0,0.0197054590767994,7.57433414011522e-07
"166",106,0,0.0196984342483002,3.30957160237517e-07
"167",38,0,0.0196894508490315,2.47389020397267e-07
"168",90,0,0.019681700181392,2.24132094173674e-07
"169",339,0,0.0196704229364433,4.44105075341416e-07
"170",313,0,0.0196654919443723,6.18824911817776e-07
"171",65,0,0.019664406689603,6.19675377152105e-07
"172",293,0,0.0196612943726583,4.29854404347897e-07
"173",390,0,0.0196571170174073,5.50839475846389e-07
"174",170,0,0.0196569924140244,3.84842593421477e-07
"175",310,0,0.0196499531515486,6.12150991190568e-07
"176",183,0,0.0196476620620357,5.25887806824e-07
"177",367,0,0.0196454295813075,3.9142089493979e-07
"178",43,0,0.0196345752436487,4.9199681244287e-07
"179",178,0,0.0196290620153623,2.79870914436515e-07
"180",369,0,0.0196273732465093,2.71002130323041e-07
"181",202,0,0.0196127812300337,5.60648795979411e-07
"182",136,0,0.0196067696126598,4.72108240444033e-07
"183",146,0,0.0195881632010917,3.79243863532941e-07
"184",117,0,0.0195872291933672,5.41085974797528e-07
"185",250,0,0.0195372890829521,5.73022492250614e-07
"186",331,0,0.0195337821361175,2.89487867586693e-07
"187",211,0,0.019502267345638,3.41744655146907e-07
"188",321,0,0.0195008195780799,7.10073759870381e-07
"189",380,0,0.0194977062854045,5.85873190155025e-07
"190",192,0,0.0194936658462115,0.000110608501873683
"191",70,0,0.0194812577113425,5.4420820994536e-07
"192",21,0,0.0194707658868498,6.67996152803233e-07
"193",46,0,0.0194549012474646,7.27794222711759e-07
"194",359,0,0.019454262118361,1.39986233358883e-05
"195",29,0,0.0194502818890412,5.10874778336868e-07
"196",160,0,0.0194442794393411,4.02711317065796e-07
"197",264,0,0.0194287429966366,4.92107424016468e-07
"198",289,0,0.0194261279272357,3.59942140753269e-07
"199",121,0,0.0194130928251323,5.29805642093872e-07
